assumed_quantum_runtime,assumed_classical_runtime,meaningful_domain_max,name,speedup_coarse,description,meaningful_domain,meaningful_domain_min
T = O(k log(n+m)),,,Matrix Rank,Polynomial,"Suppose we are given oracle access to the (integer) entries of an\n \\( n \\times m \\)  matrix <i>A</i>. We wish to determine the rank of the matrix. \n Classically this requires order <i>nm</i> queries. Building on \n [<a href=""#Reichardt2010"">149</a>], Belovs [<a href=""#Belovs_Rank"">150</a>] gives a\n quantum algorithm that can use fewer queries given a promise that the rank of the \n matrix is at least <i>r</i>. Specifically, Belovs\' algorithm uses \n \\( O(\\sqrt{r(n-r+1)}LT) \\) queries, where <i>L</i> is the root-mean-square\n of the reciprocals of the <i>r</i> largest singular values of <i>A</i> and\n <i>T</i> is a factor that depends on the sparsity of the matrix. For general <i>A</i>,\n \\( T = O(\\sqrt{nm}) \\). If <i>A</i> has at most <i>k</i> nonzero entries in any row or\n column then \\( T = O(k \\log(n+m)) \\). (To achieve the corresponding query complexity in \n the <i>k</i>-sparse case, the oracle must take a column index as input, and provide a \n list of the nonzero matrix elements from that column as output.) As an important special\n case, one can use these quantum algorithms for the problem of determining whether a \n square matrix is singular, which is sometimes referred to as the determinant problem. \n For general <i>A</i> the quantum query complexity of the determinant  problem is no \n lower than the classical query complexity [<a href=""#Dorn"">151</a>]. However, \n [<a href=""#Dorn"">151</a>] does not rule out a quantum speedup given a promise on <i>A</i>, \n such as sparseness or lack of small singular values.",,
O(n**(2.473)),O(n**(2.687)),,Matrix Multiplication over Semirings,Polynomial,"A semiring is a set endowed with addition and\nmultiplication operations that obey all the axioms of a ring except\nthe existence additive inverses. Matrix multiplication over various\nsemirings has many applications to graph problems. Matrix\nmultiplication over semirings can be sped up by straightforward Grover\nimprovements upon schoolbook multiplication, yielding a quantum\nalgorithm that multiplies a pair of \\(n \\times n\\) matrices in \\(\n\\widetilde{O}(n^{5/2}) \\) time. For some semirings this algorithm\noutperforms the fastest known classical algorithms and for some\nsemirings it does not [<a href=""#LeGall_Nishimura13"">206</a>]. \nA case of particular interest is the Boolean semiring, in which OR\nserves as addition and AND serves as multiplication. No quantum\nalgorithm is known for Boolean semiring matrix multiplication in the\ngeneral case that beats the best classical algorithm, which has\ncomplexity \\( n^{2.373} \\). However, for sparse input our output,\nquantum speedups are known. Specifically, let <i>A,B</i>\nbe <i>n</i> by <i>n</i> Boolean matrices. Let <i>C</i>=<i>AB</i>,\nand let <i>l</i> be the number of entries of <i>C</i> that are equal\nto 1 (<em>i.e.</em> TRUE). Improving upon \n [<a href=""#Buhrman_matrix"">19</a>, <a href=""#LeGall_Matrix"">155</a>, <a href=""#Williams_Williams"">157</a>],\nthe best known upper bound on quantum query complexity is\n\\(\\widetilde{O}(n \\sqrt{l}) \\), as shown in\n[<a href=""#JKM"">161</a>]. If instead the input matrices are sparse, a\nquantum speedup over the fastest known classical algorithm also has\nbeen found in a certain regime [<a href=""#LeGall_Nishimura13"">206</a>].\nFor detailed comparison to classical algorithms, see\n[<a href=""#LeGall_Matrix"">155</a>, <a href=""#LeGall_Nishimura13"">206</a>]. Quantum\nalgorithms have been found to perform matrix multiplication over the\n(max,min) semiring in \\(\\widetilde{O}(n^{2.473})\\) time and over the\ndistance dominance semiring in \\(\\widetilde{O}(n^{2.458})\\) time\n[<a href=""#LeGall_Nishimura13"">206</a>]. The fastest known classical\nalgorithm for both of these problems has \\(\\widetilde{O}(n^{2.687})\\)\ncomplexity.\n",,
,,,Subset finding,Polynomial,"We are oracle access to a function \\( f:D \\to R \\) where <i>D</i> and\n <i>R</i> are finite sets. Some property \\( P \\subset (D \\times R)^k \\) is specified, for \n example as an explicit list. Our task is to find a size-<i>k</i> subset of <i>D</i> \n satisfying <i>P</i>, <i>i.e.</i> \\( ((x_1,f(x_1)),\\ldots,(x_k,f(x_k)))\n \\in P \\), or reject if none exists. As usual, we wish to do this\n with the minimum number of queries to <i>f</i>. Generalizing the \n result of [<a href=""#Ambainis_distinctness"">7</a>], it was shown in \n [<a href=""#Childs_Eisenberg"">162</a>] that this can be achieved using\n \\(O(|D|^{k/(k+1)}) \\) quantum queries. As an noteworthy special case, this algorithm \n solves the <i>k</i>-subset-sum problem of finding <i>k</i> numbers from a list with some\n  desired sum. A matching lower bound for the quantum query complexity is proven in\n[<a href=""#Belovs_Spalek"">163</a>].",,
Theta( sqrt(n)),Theta(n),,Search with Wildcards,Polynomial,"\nThe search with wildcards problem is to identify a hidden <i>n</i>-bit\nstring <i>x</i> by making queries to an oracle <i>f</i>. Given \\( S\n\\subseteq \\{1,2,\\ldots,n\\} \\) and \\( y \\in \\{0,1\\}^{|S|} \\), <i>f</i>\nreturns one if the substring of <i>x</i> specified by <i>S</i> is equal\nto <i>y</i>, and returns zero otherwise. Classically, this problem has\nquery complexity \\(\\Theta(n)\\). As shown in\n[<a href=""#Ambainis_Montanaro12"">167</a>], the quantum query\ncomplexity of this problem is \\( \\Theta(\\sqrt{n}) \\). Interestingly,\nthis quadratic speedup is achieved not through amplitude\namplification or quantum walks, but rather through use of the\nso-called Pretty Good Measurement. The paper\n[<a href=""#Ambainis_Montanaro12"">167</a>] also gives a quantum speedup\nfor the related problem of combinatorial group testing. This result\nand subsequent faster quantum algorithms for group testing are\ndiscussed in the entry on Junta Testing and Group Testing. \n",,
"O( min (n**(7/6) sqrt(m)  U**(1/3), sqrt(nU)m ) times log(n))",,,Network flows,Polynomial,"A network is a directed graph whose edges are\nlabeled with numbers indicating their carrying capacities, and two of\nwhose vertices are designated as the source and the sink. A flow on a\nnetwork is an assignment of flows to the edges such that no flow\nexceeds that edge\'s capacity, and for each vertex other than the\nsource and sink, the total inflow is equal to the total outflow. The\nnetwork flow problem is, given a network, to find the flow that maximizes\nthe total flow going from source to sink. For a network with <i>n</i>\nvertices, <i>m</i> edges, and integer capacities of maximum\nmagnitude <i>U</i>, [<a href=""#Ambainis_Spalek05"">168</a>]\ngives a quantum algorithm to find the maximal flow in time \\( O(\\min\n\\{n^{7/6} \\sqrt{m} \\ U^{1/3}, \\sqrt{nU}m\\} \\times \\log n) \\). The\nnetwork flow problem is closely related to the problem of finding a\nmaximal matching of a graph, that is, a maximal-size subset of edges\nthat connects each vertex to at most one other vertex. The paper\n[<a href=""#Ambainis_Spalek05"">168</a>] gives algorithms for finding\nmaximal matchings that run in time \\( O(n \\sqrt{m+n} \\log n) \\) if\nthe graph is bipartite, and \\( O(n^2 ( \\sqrt{m/n} + \\log n) \\log n) \\)\nin the general case. The core of these algorithms is Grover search. \nThe known upper bounds on classical complexity of the network flow and\nmatching problems are complicated to state because different classical\nalgorithms are preferable in different parameter regimes. However, in\ncertain regimes, the above quantum algorithms beat all known classical\nalgorithms. (See [<a href=""#Ambainis_Spalek05"">168</a>] for\ndetails.)",,
"mathrm(poly)( log(n), d, 1/ phi, 1/ epsilon)",,,Electrical Resistance,Exponential,"\nWe are given oracle access to a weighted graph of <i>n</i> vertices and maximum\ndegree <i>d</i> whose edge weights are to be interpreted as electrical resistances.\nOur task is to compute the resistance between a chosen pair of vertices. Wang gave\ntwo quantum algorithms in [<a href=""#Wang14"">210</a>] for this task that run in time \n\\(\\mathrm{poly}( \\log n, d, 1/\\phi, 1/\\epsilon) \\), where \\( \\phi \\) is the expansion\nof the graph, and the answer is to be given to within a factor of \\( 1+\\epsilon \\).\nKnown classical algorithms for this problem are polynomial in <i>n</i> rather than\n\\( \\log n \\). One of Wang\'s algorithms is based on a novel use of\nquantum walks. The other is based on the quantum algorithm of\n[<a href=""#HHL08"">104</a>] for solving linear systems of equations. The first quantum\nquery complexity upper bounds for the electrical resistance problem in the adjacency\nquery model are given in [<a href=""#IJ15"">280</a>] using approximate span programs.\n",,
,,,Machine Learning,Varies,"\nMaching learning encompasses a wide variety of computational problems\nand can be attacked by a wide variety of algorithmic techniques. This\nentry summarizes quantum algorithmic techniques for improved machine\nlearning. Many of the quantum algorithms here are cross-listed under\nother headings. In\n[<a href=""#LMR13"">214</a>,<a href=""#LGZ14"">222</a>,<a href=""#LMR13b"">250</a>,<a href=""#RML13"">251</a>,<a href=""#KP16"">309</a>,<a href=""#SSP16"">338</a>,<a href=""#ZFF15"">339</a>,<a href=""#KP17"">359</a>],\nquantum algorithms for solving linear systems [<a href=""#HHL08"">104</a>] are\napplied to speed up cluster-finding, principal component analysis,\nbinary classification, and various forms of regression, provided the data satisfies certain conditions. In\n[<a href=""#LGZ14"">222</a>], these quantum algorithms \nfor linear systems are applied to speed up the characterization of\npersistent homology from data sets. A cluster-finding method not based\non the linear systems algorithm of [<a href=""#HHL08"">104</a>] is given in [<a href=""#WKS15"">336</a>].\nThe papers \n[<a href=""#PL12"">192</a>,<a href=""#NDRM08"">195</a>,<a href=""#CLGOR16"">344</a>,<a href=""#AH15"">345</a>,<a href=""#BRRP16"">346</a>,<a href=""#KXBCMRA16"">347</a>,<a href=""#AARBM16"">348</a>]\nexplore the use of adiabatic optimization techniques to speed up the training of\nclassifiers. In [<a href=""#WKS14"">221</a>], a method is proposed for\ntraining Boltzmann machines by manipulating coherent quantum states\nwith amplitudes proportional to the Boltzmann weights. Polynomial speedups\ncan be obtained by applying Grover search and related techniques such as amplitude amplification to amenable\nsubroutines of state of the art classical machine learning algorithms. See,\nfor example \n[<a href=""#ABG07"">358</a>,<a href=""#ABG13"">340</a>,<a href=""#WKS16"">341</a>,<a href=""#PDMMB14"">342</a>,<a href=""#DCLT08"">343</a>].\nOther quantum machine learning algorithms not falling into one of the above categories include \n[<a href=""#YBLL14"">337</a>,<a href=""#WG17"">349</a>].\nSome limitations of quantum machine learning algorithms are nicely\nsummarized in [<a href=""#Aa15"">246</a>]. Many other\nquantum query algorithms that extract hidden structure of the\nblack-box function could be cast as machine learning algorithms. See\nfor example\n[<a href=""#Montanaro_polynomials"">146</a>,<a href=""#Childs_nonlinear"">23</a>,<a href=""#Bernstein_Vazirani"">11</a>,<a href=""#Wocjan_nonlinear"">31</a>,<a href=""#DHIS13"">212</a>]. \nQuery algorithms for learning the majority and ""battleship"" functions are\ngiven in [<a href=""#HMPPR03"">224</a>]. Large quantum advantages for\nlearning from noisy oracles are given in [<a href=""#CSS14"">236</a>,<a href=""#HR11"">237</a>].\nSeveral recent review articles \n[<a href=""#Ad15"">299</a>,<a href=""#SSP14"">332</a>,<a href=""#BWPRWL16"">333</a>]\nand a book [<a href=""#QMLbook"">331</a>] are available which summarize the state of the field.\nThere is a related body of work, not strictly within the standard setting of quantum algorithms,\nregarding quantum learning in the case that the data itself is quantum coherent. \nSee <i>e.g.</i> [<a href=""#BJ99"">350</a>,<a href=""#ABG06"">334</a>,<a href=""#DTB16"">335</a>,<a href=""#AW17"">351</a>,<a href=""#SG04"">352</a>,<a href=""#AW16"">353</a>,<a href=""#MSW16"">354</a>,<a href=""#BCDFP10"">355</a>,<a href=""#SCJ01"">356</a>,<a href=""#SC02"">357</a>].\n",,
\widetilde(O)(n \sqrt(k/\epsilon)),,,Junta Testing and Group Testing,Polynomial,"\nA function \\(f:\\{0,1\\}^n \\to \\{0,1\\}\\) is a <i>k</i>-junta if it\ndepends on at most <i>k</i> of its input bits. The <i>k</i>-junta\ntesting problem is to decide whether a given function is\na <i>k</i>-junta or is \\( \\epsilon \\)-far from\nany <i>k</i>-junta. Althoug it is not obvious, this problem is closely\nrelated to group testing. A group testing problem is defined by a\nfunction \\(f:\\{1,2,\\ldots,n\\} \\to \\{0,1\\}\\). One is given oracle\naccess to <i>F</i>, which takes as input subsets of \n\\( \\{1,2,\\ldots,n\\} \\). <i>F</i>(<i>S</i>) = 1 if there exists \\(x \\in\n    S \\) such that <i>f</i>(<i>x</i>) = 1 and \n<i>F</i>(<i>S</i>) = 0 otherwise. In [<a href=""#ABRW15"">266</a>] a\nquantum algorithm is given solving the <i>k</i>-junta problem using \n\\( \\widetilde{O}(\\sqrt{k/\\epsilon}) \\) queries and \n\\( \\widetilde{O}(n \\sqrt{k/\\epsilon}) \\) time. This is a quadratic\nspeedup over the classical complexity, and improves upon a previous\nquantum algorithm for <i>k</i>-junta testing given in\n[<a href=""#AS07"">267</a>]. A polynomial speedup for a gapped\n(<i>i.e.</i> approximation) version of group testing is also given in\n[<a href=""#ABRW15"">266</a>], improving upon the earlier results of\n[<a href=""#Ambainis_Montanaro12"">167</a>,<a href=""#B13"">268</a>].\n<hr />\n\n<a name=""BQP""></a>\n<h2>Approximation and Simulation Algorithms</h2>\n\",,
,,,Quantum Simulation,Superpolynomial,"It is believed that for any physically realistic Hamiltonian \n<i>H</i> on <i>n</i> degrees of freedom, the corresponding time evolution operator \n \\( e^{-i H t} \\) can be implemented using poly(<i>n,t</i>) gates. Unless BPP=BQP,\n this problem is not solvable in general on a classical computer in polynomial time.\n Many techniques for quantum simulation have been developed for\n general classes of Hamiltonians\n [<a href=""#Childs_thesis"">25</a>,<a href=""#Zalka_sim"">95</a>,<a href=""#Wiesner_sim"">92</a>,<a href=""#Aharonov_Tashma"">5</a>,<a href=""#Cleve_sim"">12</a>,<a href=""#Childs_Wiebe12"">170</a>,<a href=""#BCS13"">205</a>,<a href=""#BCCKS14"">211</a>,<a href=""#BCCKS14b"">244</a>,<a href=""#BCK15"">245</a>,<a href=""#Som15"">278</a>,<a href=""#Som15"">293</a>,<a href=""#LC16"">294</a>,<a href=""#BN16"">295</a>,<a href=""#BT97"">372</a>,<a href=""#LC16b"">382</a>],\n chemical dynamics\n [<a href=""#Kassal_sim"">63</a>,<a href=""#Lidar_sim"">68</a>,<a href=""#HWBT15"">227</a>,<a href=""#RWSWT16"">310</a>,<a href=""#SW17"">375</a>], condensed\n matter physics\n [<a href=""#Abrams_sim"">1</a>,<a href=""#Wu_sim"">99</a>, <a href=""#Ortiz"">145</a>], relativistic quantum mechanics (the Dirac and Klein-Gordon equations) [<a href=""#AW16"">367</a>,<a href=""#CJO17"">369</a>,<a href=""#Yepez11"">370</a>,<a href=""Yepez13"">371</a>],\n open quantum systems [<a href=""#CW16"">376</a>, <a href=""#KBGKE11"">377</a>,<a href=""#CL16"">378</a>,<a href=""#DPCSC15"">379</a>], \n and quantum field theory\n [<a href=""#Byrnes"">107</a>,<a href=""#JLP12"">166</a>,<a href=""#JLP14a"">228</a>,<a href=""#JLP14b"">229</a>,<a href=""#BRSS14"">230</a>,<a href=""#MJ17"">368</a>].\n The exponential complexity of classically simulating quantum systems led Feynman to \n first propose that quantum computers might outperform classical computers on certain tasks \n[<a href=""#Feynman"">40</a>]. Although the problem of finding ground energies of local \n Hamiltonians is QMA-complete and therefore probably requires exponential time on a quantum \n computer in the worst case, quantum algorithms have been developed to approximate ground \n[<a href=""#Aspuru_science"">102</a>,<a href=""#WKAH08"">231</a>,<a href=""#KA09"">232</a>,<a href=""#WBA11"">233</a>,<a href=""#TL13"">234</a>,<a href=""#W13"">235</a>,<a href=""#FKT16"">308</a>,<a href=""#SA15"">321</a>,<a href=""#SCV13"">322</a>,<a href=""#BBK17"">380</a>,<a href=""#PKS17"">381</a>] \nand thermal [<a href=""#Metropolis"">132</a>,<a href=""#Poulin_Wocjan"">121</a>,<a href=""#RGE12"">281</a>,<a href=""#KB16"">282</a>,<a href=""#CS16"">307</a>] \nstates for some classes of Hamiltonians. Efficient quantum algorithms have been also obtained for preparing certain classes of tensor network states \n[<a href=""#SSVCW05"">323</a>,<a href=""#SHWCS07"">324</a>,<a href=""#GMC16"">325</a>,<a href=""#STV12"">326</a>,<a href=""#SCTVP13"">327</a>,<a href=""#SBE16"">328</a>].\n",,
,,,Knot Invariants,Superpolynomial,"As shown by \nFreedman [<a href=""#Freedman"">42</a>,\n<a href=""#Freedman2"">41</a>], <i>et al.</i>, finding a certain additive approximation to the Jones\n polynomial of the plat closure of a braid at \\( e^{i 2 \\pi/5} \\) is a BQP-complete problem. This \n result was reformulated and extended to \\( e^{i 2 \\pi/k} \\) for arbitrary <i>k</i> by Aharonov \n <i>et al.</i> [<a href=""#Aharonov1"">4</a>,<a href=""#Aharonov2"">2</a>]. Wocjan and Yard further\n generalized this, obtaining a  quantum algorithm to estimate the HOMFLY polynomial \n [<a href=""#Wocjan"">93</a>], of which the Jones polynomial is a special case. Aharonov \n <i>et al.</i> subsequently showed that quantum computers can in polynomial time estimate a\n certain additive approximation to the even more general Tutte polynomial for planar \n graphs [<a href=""#Aharonov3"">3</a>]. It is not fully understood for what range of parameters \n the approximation obtained in [<a href=""#Aharonov3"">3</a>] is BQP-hard. (See also <a href=""#part_func"">partition \n functions</a>.) Polynomial-time quantum algorithms have also been\n discovered for additively approximating link invariants arising from\n quantum doubles of finite groups\n [<a href=""#Krovi_Russell12"">174</a>]. (This problem is not known to\n be BQP-hard.) As shown in [<a href=""#Shor_Jordan"">83</a>], the\n problem of finding a certain additive approximation to the Jones\n polynomial of the <em>trace</em> closure of a braid at  \\( e^{i 2 \\pi/5} \\) is\n DQC1-complete.\n",,
,,,Three-manifold Invariants,Superpolynomial,"The Turaev-Viro invariant is a function that takes\n three-dimensional manifolds as input and produces a real number as output. Homeomorphic\n manifolds yield the same number. Given a three-manifold specified by a Heegaard splitting,\n a quantum computer can efficiently find a certain additive approximation to its\n Turaev-Viro invariant, and this approximation is BQP-complete [<a href=""#AJKR"">129</a>].\n Earlier, in [<a href=""#Garnerone"">114</a>], a polynomial-time quantum algorithm was given\n to additively approximate the Witten-Reshitikhin-Turaev (WRT) invariant of a manifold\n given by a surgery presentation. Squaring the WRT invariant yields the Turaev-Viro\n invariant. However, it is unknown whether the approximation achieved in \n [<a href=""#Garnerone"">114</a>] is BQP-complete. A suggestion of a possible link between\n quantum computation and three-manifold invariants was also given in \n [<a href=""#Kauffman"">115</a>].\n",,
,,,Partition Functions,/b> Partition Functions,"For a classical system with a finite set of states <i>S</i> the\n partition function is \\( Z = \\sum_{s \\in S} e^{-E(s)/kT} \\), where <i>T</i> is the\n temperature and <i>k</i> is Boltzmann\'s constant. Essentially every thermodynamic \n quantity can be calculated by taking an appropriate partial derivative of the partition\n function. The partition function of the Potts model is a special case of the Tutte\n polynomial. A quantum algorithm for approximating the Tutte polynomial is given in \n [<a href=""#Aharonov3"">3</a>]. Some connections between these approaches are  discussed\n in [<a href=""#Lidar_Ising"">67</a>]. Additional algorithms for estimating partition\n functions on quantum computers are given in [<a href=""#Arad_Landau"">112</a>,<a href=""#VdN"">113</a>,<a href=""#Geraci_QWGT1"">45</a>,<a href=""#Geraci_exact"">47</a>]. \n A BQP-completeness result (where the ""energies"" are allowed to be complex) is also given in \n [<a href=""#VdN"">113</a>]. A method for approximating partition functions by simulating \n thermalization processes is given in [<a href=""#Poulin_Wocjan"">121</a>]. A quadratic speedup\n for the approximation of general partition functions is given in\n [<a href=""#WCAN"">122</a>]. A method based on quantum walks, achieving\n polynomial speedup for evaluating partition functions is given in\n [<a href=""#M15b"">265</a>].\n",,
O( sqrt(N)),,,Adiabatic Algorithms,/b> Adiabatic Algorithms,"In adiabatic quantum computation one starts with\n an initial Hamiltonian whose ground state is easy to prepare, and\n slowly varies the Hamiltonian to one whose ground state encodes the\n solution to some computational problem. By the adiabatic theorem, the\n system will track the instantaneous ground state provided the\n variation of the Hamiltonian is sufficiently slow. The runtime of an\n adiabatic algorithm scales at worst as \\(1/ \\gamma^3 \\) where \\( \\gamma \\)\n is the minimum eigenvalue gap between the ground state\n and the first excited state [<a href=""#JRS06"">185</a>]. If the\n Hamiltonian is varied sufficiently smoothly, one can improve this to\n \\( \\widetilde{O}(1/\\gamma^2) \\) [<a href=""#EH12"">247</a>]. Adiabatic\n quantum computation was first proposed by Farhi <i>et al.</i> as a\n method for solving NP-complete combinatorial optimization problems\n [<a href=""#Farhi_adiabatic"">96</a>, <a href=""#FGGLLP01"">186</a>]. Adiabatic quantum algorithms for\n optimization problems typically use ""stoquastic"" Hamiltonians, which\n do not suffer from the sign problem. Such algorithms are sometimes\n referred to as quantum annealing. Adiabatic quantum computation with\n non-stoquastic Hamiltonians is as powerful as the quantum circuit \n model [<a href=""#Aharonov_adiabatic"">97</a>]. Adiabatic algorithms\n using stoquastic Hamiltonians are probably less powerful\n [<a href=""#BDOT06"">183</a>], but may be nevertheless more powerful\n than classical computation. The asymptotic runtime of adiabatic\n optimization algorithms is notoriously difficult to analyze, but some\n progress has been achieved\n [<a href=""#AKR09"">179</a>,<a href=""#R04"">180</a>,<a href=""#FGG02"">181</a>,<a href=""#FGGGMS09"">182</a>,<a href=""#FGGN05"">187</a>,<a href=""#FGGS10"">188</a>,<a href=""#FGG02B"">189</a>,<a href=""#vDMV01"">190</a>,<a href=""#FGHSSYZ12"">191</a>,<a href=""#IM08"">226</a>]. (Also\n relevant is an earlier literature on quantum annealing, which\n originally referred to a classical optimization algorithm that works by \n simulating a quantum process, much as simulated annealing is a\n classical optimization algorithm that works by simulating a thermal\n process. See <em>e.g.</em>\n [<a href=""#FGSSD94"">199</a>, <a href=""#MN08"">198</a>].) Adiabatic quantum\n computers can perform a process somewhat analogous\n to Grover search in \\( O(\\sqrt{N}) \\) time\n [<a href=""#Roland_Cerf"">98</a>]. Adiabatic quantum algorithms\n achieving quadratic speedup for a more general class of problems are\n constructed in [<a href=""#SB12"">184</a>] by adapting techniques from\n [<a href=""#Szegedy"">85</a>]. Adiabatic quantum algorithms have been\n proposed for several specific problems, including PageRank\n [<a href=""#GZL12"">176</a>], machine learning\n [<a href=""#PL12"">192</a>, <a href=""#NDRM08"">195</a>],\n and graph problems [<a href=""#GC11"">193</a>, <a href=""#GC13"">194</a>].\n Some quantum simulation algorithms also use adiabatic state\n preparation.\n",,
,,,Quantum Approximate Optimization,/b> Quantum Approximate Optimization,"For many combinatorial optimization problems,\nfinding the exact optimal solution is NP-complete. There are also hardness-of-approximation\nresults proving that finding an approximation with sufficiently\nsmall error bound is NP-complete. For certain problems there is a gap\nbetween the best error bound achieved by a polynomial-time classical\napproximation algorithm and the error bound proven to be NP-hard. In\nthis regime there is potential for exponential speedup by quantum\ncomputation. In [<a href=""#FGG14a"">242</a>] a new quantum algorithmic\ntechnique called the Quantum Approximate Optimization Algorithm (QAOA) \nwas proposed for finding approximate solutions to\ncombinatorial optimization problems. In [<a href=""#FGG14b"">243</a>] it\nwas subsequently shown that QAOA solves a combinatorial\noptimization problem called Max E3LIN2 with a better approximation\nratio than any polynomial-time classical algorithm known at the\ntime. However, an efficient classical algorithm achieving an even\nbetter approximation ratio (in fact, the approximation ratio\nsaturating the limit set by hardness-of-approximation) was\nsubsequently discovered [<a href=""#BMO15"">260</a>]. Presently, the power of\nQAOA relative to classical computing is an active area of research \n[<a href=""#LZ16"">300</a>, <a href=""#WHT16"">301</a>, <a href=""#FH16"">302</a>, \n<a href=""#Chamon"">314</a>].\n",,
,,,Semidefinite Programming,/b> Semidefinite Programming,"Given a list of <i>m</i> + 1 Hermitian \\(n \\times n \\)\nmatrices \\(C, A_1, A_2, \\ldots, A_m\\) and <i>m</i> numbers \n\\(b_1, \\ldots, b_m \\), the problem of semidefinite programming is to\nfind the positive semidefinite \\( n \\times n \\)\nmatrix <i>X</i> that maximizes tr(<i>CX</i>) subject to the\nconstraints \\( \\mathrm{tr} (A_j X) \\leq b_j \\) for \\( j = 1,2,\\ldots,\nm \\). Semidefinite programming has many applications in operations\nresearch, combinatorial optimization, and quantum information, and it\nincludes linear programming as a special case. Improving upon\n[<a href=""#BS16"">313</a>], a quantum algorithm is given in [<a href=""#BKL17"">383</a>]\nthat approximately solves semidefinite programs to within \\( \\pm \\epsilon \\) in time \n\\( O (\\sqrt{m} \\log m \\cdot \\mathrm{poly}(\\log n, r, \\epsilon^{-1})) \\), where <i>r</i> is the rank of the semidefinite program. This constitutes a\nquadratic speedup over the fastest classical algorithms when <i>r</i> is small compared to <i>n</i>. The quantum algorithm is based on amplitude amplification and quantum Gibbs sampling\n[<a href=""#Poulin_Wocjan"">121</a>, <a href=""#CS16"">307</a>].\n",,
,,,Zeta Functions,Superpolynomial,"Let  <i>f</i>(<i>x</i>,<i>y</i>) be a degree-<i>d</i>\npolynomial over a finite field \\( \\mathbb{F}_p \\). Let \\( N_r \\) be\nthe number of projective solutions to <i>f</i>(<i>x</i>,<i>y</i> = 0 over the\nextension field \\( \\mathbb{F}_{p^r} \\). The zeta function for <i>f</i>\nis defined to be \\( Z_f(T) = \\exp \\left( \\sum_{r=1}^\\infty\n\\frac{N_r}{r} T^r \\right) \\). Remarkably, \\( Z_f(T) \\) always has the\nform \\( Z_f(T) = \\frac{Q_f(T)}{(1-pT)(1-T)} \\) where \\( Q_f(T) \\) is a\npolynomial of degree 2<i>g</i> and \\(g = \\frac{1}{2} (d-1)(d-2) \\) is\ncalled the genus of <i>f</i>. Given \\( Z_f(T) \\) one can easily\ncompute the number of zeros of <i>f</i> over any extension field \\(\n\\mathbb{F}_{p^r} \\). One can similarly define the zeta function\nwhen the original field over which <i>f</i> is defined does not have\nprime order. As shown by Kedlaya [<a href=""#Kedlaya"">64</a>],\nquantum computers can determine the zeta function of a genus <i>g</i>\ncurve over a finite field \\( \\mathbb{F}_{p^r} \\) in \n\\( \\mathrm{poly}(\\log p, r, g) \\) time. The fastest known classical algorithms\nare all exponential in either log(<i>p</i>) or <i>g</i>. In a\ndiffent, but somewhat related contex, van Dam has conjectured that due\nto a connection between the zeros of <em>Riemann</em> zeta functions\nand the eigenvalues of certain quantum operators, quantum computers\nmight be able to efficiently approximate the number of solutions to\nequations over finite fields [<a href=""#vanDam_zeros"">87</a>].\n",,
,,,Weight Enumerators,Superpolynomial,"Let <i>C</i> be a code on <i>n</i> bits, <i>i.e.</i> a subset of \n \\( \\mathbb{Z}_2^n \\). The weight enumerator of <i>C</i> is \n \\( S_C(x,y) = \\sum_{c \\in C} x^{|c|} y^{n-|c|} \\) where \n |<i>c</i>| denotes the Hamming weight of <i>c</i>. Weight enumerators have many\n uses in the study of classical codes. If <i>C</i> is a linear code, it can be defined by\n \\( C = \\{c: Ac = 0\\} \\) where <i>A</i> is a matrix over \\( \\mathbb{Z}_2 \\)\n In this case \\( S_C(x,y) = \\sum_{c:Ac=0} x^{|c|} y^{n-|c|} \\). Quadratically signed\n weight enumerators (QWGTs) are a generalization of this: \n \\( S(A,B,x,y) = \\sum_{c:Ac=0} (-1)^{c^T B c} x^{|c|} y^{n-|c|} \\). Now consider the\n following special case. Let <i>A</i> be an \\( n \\times n \\) matrix over \\( \\mathbb{Z}_2 \\)\n such that diag(<i>A</i>)=I. Let lwtr(<i>A</i>) be the lower triangular matrix resulting\n from setting all entries above the diagonal in <i>A</i> to zero. Let <i>l,k</i> be positive\n integers. Given the promise that \n \\( |S(A,\\mathrm{lwtr}(A),k,l)| \\geq \\frac{1}{2} (k^2+l^2)^{n/2} \\)\n the problem of determining the sign of \\( S(A,\\mathrm{lwtr}(A),k,l) \\) is  BQP-complete,\n as shown by Knill and Laflamme in [<a href=""#Knill_QWGT"">65</a>]. The evaluation of QWGTs is\n also closely related to the evaluation of Ising and Potts model partition functions \n [<a href=""#Lidar_Ising"">67</a>,<a href=""#Geraci_QWGT1"">45</a>,<a href=""#Geraci_QWGT2"">46</a>].\n",,
